
"{""id"":21,""image"":"""",""task_id"":13}"
"{""id"":24,""image"":""pics/logo2_k2WHPiR.png"",""task_id"":13}"
"{""id"":26,""image"":""pics/logo1_UZkvF48.png"",""task_id"":13}"
"{""id"":28,""image"":""pics/3_Gl8hMnF.png"",""task_id"":13}"
"{""id"":29,""image"":"""",""task_id"":13}"
"{""id"":30,""image"":""pics/logo3_LEZkq0m.png"",""task_id"":13}"
"{""id"":31,""image"":""pics/logo4_6sypM8r.png"",""task_id"":13}"
"{""id"":32,""image"":"""",""task_id"":13}"
"{""id"":35,""image"":"""",""task_id"":13}"
"{""id"":36,""image"":""pics/3_fAmj6oJ.png"",""task_id"":13}"
"{""id"":40,""image"":""pics/logo3_j9LOj68.png"",""task_id"":15}"
"{""id"":41,""image"":""pics/logo1_UtlNgFo.png"",""task_id"":16}"
